 -99.000   31.000 -0.00587 27
 -99.000   32.000 -0.00362 21
 -99.000   33.000 -0.00269 27
 -99.000   34.000 -0.00254 23
 -99.000   35.000 -0.00340 26
 -99.000   36.000 -0.00359 23
 -99.000   37.000 -0.00369 24
 -99.000   38.000 -0.00303 24
 -99.000   39.000 -0.00120 22
 -99.000   40.000  0.00122 24
 -99.000   41.000  0.00191 21
 -99.000   42.000  0.00048 20
 -99.000   43.000 -0.00057 16
 -99.000   44.000 -0.00083 18
 -99.000   45.000 -0.00150 19
 -99.000   46.000 -0.00136 19
 -99.000   47.000 -0.00100 15
 -99.000   48.000 -0.00021 20
 -99.000   49.000 -0.00061 19
 -99.000   50.000 -0.00080 19
 -98.000   25.000 -0.00171 21
 -98.000   26.000 -0.00364 19
 -98.000   27.000 -0.00484 25
 -98.000   28.000 -0.00640 21
 -98.000   29.000 -0.00762 25
 -98.000   30.000 -0.00759 23
 -98.000   31.000 -0.00607 23
 -98.000   32.000 -0.00355 22
 -98.000   33.000 -0.00205 23
 -98.000   34.000 -0.00191 24
 -98.000   35.000 -0.00286 23
 -98.000   36.000 -0.00352 24
 -98.000   37.000 -0.00396 22
 -98.000   38.000 -0.00363 25
 -98.000   39.000 -0.00200 23
 -98.000   40.000  0.00034 26
 -98.000   41.000  0.00102 23
 -98.000   42.000 -0.00012 21
 -98.000   43.000 -0.00094 19
 -98.000   44.000 -0.00114 18
